,Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
238,Eric Gordon,SG,35,PHO,61,24,28.6,4.3,9.4,.451,2.3,6.0,.388,1.9,3.4,.562,.575,0.8,1.0,.800,0.3,1.7,2.0,2.1,0.9,0.5,1.1,1.2,11.6,2024,11.2,.589,.635,.104,1.1,6.3,3.9,10.2,1.6,1.4,10.3,16.7,1.2,1.2,2.4,.066,-1.0,-0.7,-1.7,0.1
494,Eugene Omoruyi,SF,26,WAS,36,0,7.9,1.6,3.3,.492,0.2,0.8,.214,1.5,2.6,.576,.517,0.8,1.1,.692,0.8,1.2,2.0,0.8,0.6,0.1,0.5,1.5,4.2,2024,16.5,.550,.233,.325,10.7,16.3,13.4,14.0,3.6,0.6,11.6,23.1,0.2,0.3,0.5,.082,-2.4,0.2,-2.3,0.0
198,Evan Fournier,SG,31,DET,25,0,17.4,2.4,6.7,.351,1.1,4.2,.269,1.2,2.6,.484,.435,1.0,1.2,.828,0.2,1.6,1.8,1.4,1.0,0.1,0.7,1.6,6.8,2024,8.6,.470,.619,.173,1.0,10.7,5.8,11.5,2.8,0.6,9.1,19.4,-0.4,0.4,0.0,-0.002,-4.6,0.6,-4.0,-0.2
445,Evan Mobley,PF,22,CLE,42,42,30.7,6.4,11.0,.582,0.4,1.0,.372,6.0,10.0,.604,.600,2.4,3.4,.701,2.3,7.6,9.9,3.2,0.9,1.5,1.9,2.8,15.6,2024,20.0,.623,.093,.312,8.4,27.3,18.1,15.9,1.4,4.2,12.9,20.6,2.2,2.5,4.7,.175,0.7,2.3,2.9,1.6
504,Filip Petrušev,C,23,SAC,3,0,3.3,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.3,0.7,.500,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0,2024,5.1,.521,.000,1.000,0.0,11.3,5.5,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,.025,-4.7,-3.3,-8.0,0.0
479,Frank Ntilikina,PG,25,CHO,5,0,8.6,0.2,1.8,.111,0.2,1.6,.125,0.0,0.2,.000,.167,0.4,0.4,1.000,0.2,1.0,1.2,0.8,0.0,0.0,0.2,0.8,1.0,2024,0.0,.253,.889,.222,2.5,13.5,7.8,11.5,0.0,0.0,9.2,11.1,-0.1,0.0,-0.1,-0.096,-10.1,-3.4,-13.4,-0.1
654,Franz Wagner,SF,22,ORL,65,65,32.7,7.4,15.4,.479,1.3,4.7,.285,6.0,10.7,.564,.523,3.6,4.2,.848,1.0,4.4,5.3,3.8,1.1,0.4,2.0,2.4,19.6,2024,17.1,.570,.306,.277,3.5,15.7,9.6,19.0,1.6,1.1,10.4,25.6,2.5,3.0,5.5,.123,0.7,0.3,1.0,1.6
647,Fred VanVleet,PG,29,HOU,66,66,36.7,5.6,13.7,.412,3.0,8.0,.381,2.6,5.7,.455,.523,2.6,3.0,.867,0.4,3.3,3.7,8.1,1.3,0.9,1.7,2.4,16.8,2024,16.3,.563,.585,.216,1.1,9.7,5.4,31.1,1.7,2.2,10.4,19.3,4.5,3.0,7.5,.149,2.4,0.9,3.4,3.3
350,Furkan Korkmaz,SG,26,PHI,35,0,8.6,0.9,2.2,.395,0.4,1.1,.350,0.5,1.0,.444,.487,0.4,0.6,.700,0.1,0.7,0.9,0.7,0.4,0.1,0.3,0.5,2.5,2024,9.3,.519,.526,.263,1.4,9.8,5.5,11.0,2.3,0.9,10.5,13.6,0.0,0.3,0.3,.053,-3.2,0.4,-2.8,-0.1
309,GG Jackson II,PF,19,MEM,39,9,23.9,4.5,10.5,.433,2.0,5.5,.363,2.5,5.0,.510,.528,2.3,3.1,.750,1.1,2.7,3.8,1.0,0.5,0.5,1.3,1.3,13.4,2024,13.6,.565,.526,.293,5.0,12.8,8.8,6.8,0.9,2.0,9.6,23.6,0.2,0.8,1.0,.051,-0.3,-1.9,-2.3,-0.1
